date,lgd_district_name,lgd_state_name,npi_border,npi_curfew,npi_industry,npi_lockdown,npi_mask,npi_retail,npi_school,npi_surveillance,npi_temple,npi_transport,npi_cu,district,av_npi_cu,npi_cu_scale,av_npi_cu_scale,sdgroup,state
08apr2020,anantapur,andhra pradesh,1,1,1,1,0,1,1,.875,1,1,8,1,8,1,1,416,andhra pradesh
09apr2020,anantapur,andhra pradesh,1,1,1,1,0,1,1,.875,1,1,8,1,8,1,1,422,andhra pradesh
10apr2020,anantapur,andhra pradesh,1,1,1,1,0,1,1,.875,1,1,8,1,8,1,1,428,andhra pradesh
11apr2020,anantapur,andhra pradesh,1,1,1,1,0,1,1,.875,1,1,8,1,8,1,1,434,andhra pradesh
12apr2020,anantapur,andhra pradesh,1,1,1,1,0,1,1,.875,1,1,8,1,8,1,1,440,andhra pradesh
13apr2020,anantapur,andhra pradesh,1,1,1,1,0,1,1,.875,1,1,8,1,8,1,1,446,andhra pradesh
14apr2020,anantapur,andhra pradesh,1,1,1,1,0,1,1,.875,1,1,8,1,8,1,1,452,andhra pradesh
15apr2020,anantapur,andhra pradesh,1,1,1,1,0,1,1,.875,1,1,8,1,8,1,1,458,andhra pradesh
16apr2020,anantapur,andhra pradesh,1,1,1,1,1,1,1,.875,1,1,8,1,8,1,1,464,andhra pradesh
17apr2020,anantapur,andhra pradesh,1,1,1,1,1,1,1,.875,1,1,8,1,7.9047618,1,.98809522,470,andhra pradesh
18apr2020,anantapur,andhra pradesh,1,1,1,1,1,1,1,.875,1,1,8,1,7.8095241,1,.97619051,476,andhra pradesh
19apr2020,anantapur,andhra pradesh,1,1,1,1,1,1,1,.875,1,1,8,1,7.7142859,1,.96428573,482,andhra pradesh
20apr2020,anantapur,andhra pradesh,1,1,.5,1,1,.83333331,1,.875,1,1,7.3333335,1,7.6190476,.91666669,.95238096,488,andhra pradesh
21apr2020,anantapur,andhra pradesh,1,1,.5,1,1,.83333331,1,.875,1,1,7.3333335,1,7.5238094,.91666669,.94047618,494,andhra pradesh
22apr2020,anantapur,andhra pradesh,1,1,.5,1,1,.83333331,1,.875,1,1,7.3333335,1,7.4285717,.91666669,.92857146,500,andhra pradesh
23apr2020,anantapur,andhra pradesh,1,1,.5,1,1,.83333331,1,.875,1,1,7.3333335,1,7.3333335,.91666669,.91666669,506,andhra pradesh
24apr2020,anantapur,andhra pradesh,1,1,.5,1,1,.83333331,1,.875,1,1,7.3333335,1,7.3333335,.91666669,.91666669,512,andhra pradesh
25apr2020,anantapur,andhra pradesh,1,1,.5,1,1,.83333331,1,.875,1,1,7.3333335,1,7.3333335,.91666669,.91666669,518,andhra pradesh
26apr2020,anantapur,andhra pradesh,1,1,.5,1,1,.83333331,1,.875,1,1,7.3333335,1,7.3333335,.91666669,.91666669,524,andhra pradesh
27apr2020,anantapur,andhra pradesh,1,1,.5,1,1,.83333331,1,.875,1,1,7.3333335,1,7.3333335,.91666669,.91666669,530,andhra pradesh
28apr2020,anantapur,andhra pradesh,1,1,.5,1,1,.83333331,1,1,1,1,7.3333335,1,7.2857146,.91666669,.91071433,536,andhra pradesh
29apr2020,anantapur,andhra pradesh,1,1,.5,1,1,.83333331,1,1,1,1,7.3333335,1,7.2380953,.91666669,.90476191,542,andhra pradesh
30apr2020,anantapur,andhra pradesh,1,1,.5,1,1,.83333331,1,1,1,1,7.3333335,1,7.1904764,.91666669,.89880955,548,andhra pradesh
01may2020,anantapur,andhra pradesh,1,1,.5,1,1,.83333331,1,1,1,.66666663,7,1,7.1428571,.875,.89285713,554,andhra pradesh
02may2020,anantapur,andhra pradesh,1,1,.5,1,1,.83333331,1,1,1,.66666663,7,1,7.0952382,.875,.88690478,560,andhra pradesh
03may2020,anantapur,andhra pradesh,1,1,.5,1,1,.83333331,1,1,1,.66666663,7,1,7,.875,.875,566,andhra pradesh
04may2020,anantapur,andhra pradesh,1,1,.5,1,1,.83333331,1,1,1,.66666663,7,1,6.9047618,.875,.86309522,572,andhra pradesh
05may2020,anantapur,andhra pradesh,1,1,.5,1,1,.83333331,1,1,1,.66666663,7,1,6.8571429,.875,.85714287,578,andhra pradesh
